scientific_name
Riparia riparia
Rissa tridactyla
Saxicola maurus
Saxicola rubetra
Saxicola rubicola
Scolopax rusticola
Serinus serinus
Sitta europaea
Somateria mollissima
Somateria spectabilis
Spatula clypeata
Spatula querquedula
Spinus spinus
Stercorarius longicaudus
Stercorarius parasiticus
Stercorarius pomarinus
Stercorarius skua
Sterna hirundo
Sterna paradisaea
Sternula albifrons
Streptopelia decaocto
Streptopelia orientalis
Streptopelia turtur
Strix aluco
Strix nebulosa
Strix uralensis
Sturnus vulgaris
Surnia ulula
Sylvia atricapilla
Sylvia borin
Syrrhaptes paradoxus
Tachybaptus ruficollis
Tadorna ferruginea
Tadorna tadorna
Tarsiger cyanurus
Tetrao urogallus
Tetrastes bonasia
Tetrax tetrax
Thalasseus sandvicensis
Tringa erythropus
Tringa glareola
Tringa nebularia
Tringa ochropus
Tringa stagnatilis
Tringa totanus
Troglodytes troglodytes
Turdus atrogularis
Turdus iliacus
Turdus merula
Turdus philomelos
Turdus pilaris
Turdus torquatus
Turdus viscivorus
Tyto alba
Upupa epops
Uria aalge
Uria lomvia
Vanellus vanellus
Xema sabini
Xenus cinereus
Zapornia parva
Zapornia pusilla
Zoothera aurea
