overlap,TP,FP,FN,precision,sensitivity,f1_score
0,2256,20809,2372,0.09781053544331238,0.4874675885911841,0.1629292601018308
0.5,2609,22817,2331,0.10261150003932983,0.5281376518218623,0.17183692287426727
1,3363,28389,2104,0.1059145880574452,0.6151454179623194,0.18071415137429805
1.5,4343,37589,2002,0.1035724506343604,0.6844759653270291,0.1799200447418025
