overlap_analyzed,scientific_name,TP,FP,FN,precision,sensitivity,f1_score,accuracy,total_detections,total_manual,false_positive_rate,false_negative_rate
0,accipiter gentilis,1,20,0,0.047619047619047616,1,0.0909090909090909,0.047619047619047616,21,1,0.9523809523809523,0
0,acrocephalus arundinaceus,73,324,122,0.18387909319899245,0.37435897435897436,0.24662162162162166,0.14065510597302505,397,195,0.8161209068010076,0.6256410256410256
0,acrocephalus palustris,4,36,9,0.1,0.3076923076923077,0.15094339622641512,0.08163265306122448,40,13,0.9,0.6923076923076923
0,acrocephalus schoenobaenus,113,1506,17,0.06979617047560223,0.8692307692307693,0.1292166952544311,0.06907090464547677,1619,130,0.9302038295243977,0.13076923076923078
0,acrocephalus scirpaceus,243,971,40,0.200164744645799,0.8586572438162544,0.32464929859719444,0.1937799043062201,1214,283,0.799835255354201,0.1413427561837456
0,aegithalos caudatus,4,16,14,0.2,0.2222222222222222,0.2105263157894737,0.11764705882352941,20,18,0.8,0.7777777777777778
0,alauda arvensis,13,298,4,0.04180064308681672,0.7647058823529411,0.07926829268292683,0.04126984126984127,311,17,0.9581993569131833,0.23529411764705882
0,anas platyrhynchos,88,291,25,0.23218997361477572,0.7787610619469026,0.35772357723577236,0.21782178217821782,379,113,0.7678100263852242,0.22123893805309736
0,anser serrirostris,3,1,0,0.75,1,0.8571428571428571,0.75,4,3,0.25,0
0,anthus trivialis,0,135,1,0,0,NA,0,135,1,1,1
0,ardea cinerea,1,37,6,0.02631578947368421,0.14285714285714285,0.044444444444444446,0.022727272727272728,38,7,0.9736842105263158,0.8571428571428571
0,botaurus stellaris,4,146,0,0.02666666666666667,1,0.05194805194805195,0.02666666666666667,150,4,0.9733333333333334,0
0,buteo buteo,7,7,6,0.5,0.5384615384615384,0.5185185185185186,0.35,14,13,0.5,0.46153846153846156
0,caprimulgus europaeus,5,89,0,0.05319148936170213,1,0.10101010101010102,0.05319148936170213,94,5,0.9468085106382979,0
0,carduelis carduelis,1,20,0,0.047619047619047616,1,0.0909090909090909,0.047619047619047616,21,1,0.9523809523809523,0
0,carpodacus erythrinus,47,1000,13,0.044890162368672396,0.7833333333333333,0.08491418247515808,0.04433962264150943,1047,60,0.9551098376313276,0.21666666666666667
0,certhia familiaris,40,120,29,0.25,0.5797101449275363,0.34934497816593885,0.21164021164021163,160,69,0.75,0.42028985507246375
0,chroicocephalus ridibundus,2,90,3,0.021739130434782608,0.4,0.041237113402061855,0.021052631578947368,92,5,0.9782608695652174,0.6
0,corvus corax,7,10,16,0.4117647058823529,0.30434782608695654,0.35,0.21212121212121213,17,23,0.5882352941176471,0.6956521739130435
0,corvus cornix,24,104,134,0.1875,0.1518987341772152,0.1678321678321678,0.0916030534351145,128,158,0.8125,0.8481012658227848
0,corvus frugilegus,16,65,23,0.19753086419753085,0.41025641025641024,0.26666666666666666,0.15384615384615385,81,39,0.8024691358024691,0.5897435897435898
0,curruca communis,2,50,0,0.038461538461538464,1,0.07407407407407407,0.038461538461538464,52,2,0.9615384615384616,0
0,cyanistes caeruleus,59,207,88,0.22180451127819548,0.4013605442176871,0.28571428571428575,0.16666666666666666,266,147,0.7781954887218046,0.5986394557823129
0,cygnus cygnus,1,24,0,0.04,1,0.07692307692307693,0.04,25,1,0.96,0
0,dendrocopos major,3,39,4,0.07142857142857142,0.42857142857142855,0.12244897959183672,0.06521739130434782,42,7,0.9285714285714286,0.5714285714285714
0,dryobates minor,2,3370,11,5.931198102016608e-4,0.15384615384615385,0.0011816838995568687,5.911912503694946e-4,3372,13,0.9994068801897983,0.8461538461538461
0,dryocopus martius,6,106,4,0.05357142857142857,0.6,0.0983606557377049,0.05172413793103448,112,10,0.9464285714285714,0.4
0,emberiza citrinella,11,110,27,0.09090909090909091,0.2894736842105263,0.13836477987421383,0.07432432432432433,121,38,0.9090909090909091,0.7105263157894737
0,emberiza schoeniclus,776,5043,561,0.13335624677779687,0.5804038893044129,0.21688093907210731,0.12163009404388715,5819,1337,0.8666437532222031,0.4195961106955871
0,erithacus rubecula,16,81,10,0.16494845360824742,0.6153846153846154,0.26016260162601623,0.14953271028037382,97,26,0.8350515463917526,0.38461538461538464
0,fringilla coelebs,24,135,293,0.1509433962264151,0.07570977917981073,0.10084033613445378,0.05309734513274336,159,317,0.8490566037735849,0.9242902208201893
0,fulica atra,84,218,88,0.2781456953642384,0.4883720930232558,0.3544303797468354,0.2153846153846154,302,172,0.7218543046357616,0.5116279069767442
0,galerida cristata,0,11,2,0,0,NA,0,11,2,1,1
0,grus grus,16,62,25,0.20512820512820512,0.3902439024390244,0.2689075630252101,0.1553398058252427,78,41,0.7948717948717948,0.6097560975609756
0,hippolais icterina,3,22,2,0.12,0.6,0.19999999999999998,0.1111111111111111,25,5,0.88,0.4
0,hirundo rustica,4,37,8,0.0975609756097561,0.3333333333333333,0.15094339622641506,0.08163265306122448,41,12,0.9024390243902439,0.6666666666666666
0,larus argentatus,7,91,30,0.07142857142857142,0.1891891891891892,0.1037037037037037,0.0546875,98,37,0.9285714285714286,0.8108108108108109
0,locustella luscinioides,48,843,14,0.05387205387205387,0.7741935483870968,0.10073452256033578,0.05303867403314917,891,62,0.9461279461279462,0.22580645161290322
0,luscinia luscinia,24,288,0,0.07692307692307693,1,0.14285714285714288,0.07692307692307693,312,24,0.9230769230769231,0
0,mareca strepera,5,75,2,0.0625,0.7142857142857143,0.11494252873563218,0.06097560975609756,80,7,0.9375,0.2857142857142857
0,muscicapa striata,1,24,6,0.04,0.14285714285714285,0.0625,0.03225806451612903,25,7,0.96,0.8571428571428571
0,numenius arquata,1,32,0,0.030303030303030304,1,0.05882352941176471,0.030303030303030304,33,1,0.9696969696969697,0
0,parus major,94,173,132,0.352059925093633,0.415929203539823,0.3813387423935092,0.23558897243107768,267,226,0.6479400749063671,0.584070796460177
0,passer montanus,1,5,0,0.16666666666666666,1,0.2857142857142857,0.16666666666666666,6,1,0.8333333333333334,0
0,periparus ater,3,71,4,0.04054054054054054,0.42857142857142855,0.07407407407407408,0.038461538461538464,74,7,0.9594594594594594,0.5714285714285714
0,phoenicurus phoenicurus,0,51,1,0,0,NA,0,51,1,1,1
0,phylloscopus collybita,119,262,122,0.3123359580052493,0.49377593360995853,0.382636655948553,0.23658051689860835,381,241,0.6876640419947506,0.5062240663900415
0,phylloscopus trochilus,3,52,14,0.05454545454545454,0.17647058823529413,0.08333333333333334,0.043478260869565216,55,17,0.9454545454545454,0.8235294117647058
0,pica pica,8,43,5,0.1568627450980392,0.6153846153846154,0.25,0.14285714285714285,51,13,0.8431372549019608,0.38461538461538464
0,poecile montanus,7,21,11,0.25,0.3888888888888889,0.30434782608695654,0.1794871794871795,28,18,0.75,0.6111111111111112
0,poecile palustris,1,17,0,0.05555555555555555,1,0.10526315789473684,0.05555555555555555,18,1,0.9444444444444444,0
0,porzana porzana,1,1660,0,6.020469596628537e-4,1,0.0012033694344163659,6.020469596628537e-4,1661,1,0.9993979530403372,0
0,prunella modularis,14,185,1,0.07035175879396985,0.9333333333333333,0.1308411214953271,0.07,199,15,0.9296482412060302,0.06666666666666667
0,pyrrhula pyrrhula,2,38,24,0.05,0.07692307692307693,0.060606060606060615,0.03125,40,26,0.95,0.9230769230769231
0,regulus ignicapilla,1,61,1,0.016129032258064516,0.5,0.03125,0.015873015873015872,62,2,0.9838709677419355,0.5
0,regulus regulus,22,169,30,0.11518324607329843,0.4230769230769231,0.18106995884773663,0.09954751131221719,191,52,0.8848167539267016,0.5769230769230769
0,scolopax rusticola,3,45,0,0.0625,1,0.11764705882352941,0.0625,48,3,0.9375,0
0,sitta europaea,3,23,2,0.11538461538461539,0.6,0.1935483870967742,0.10714285714285714,26,5,0.8846153846153846,0.4
0,spinus spinus,5,183,3,0.026595744680851064,0.625,0.05102040816326531,0.02617801047120419,188,8,0.973404255319149,0.375
0,strix aluco,6,103,0,0.05504587155963303,1,0.10434782608695652,0.05504587155963303,109,6,0.944954128440367,0
0,sylvia atricapilla,5,51,9,0.08928571428571429,0.35714285714285715,0.14285714285714285,0.07692307692307693,56,14,0.9107142857142857,0.6428571428571429
0,sylvia borin,6,85,2,0.06593406593406594,0.75,0.12121212121212123,0.06451612903225806,91,8,0.9340659340659341,0.25
0,tachybaptus ruficollis,1,4,7,0.2,0.125,0.15384615384615385,0.08333333333333333,5,8,0.8,0.875
